timestamp,partner_id,region,gateway,success,result_code,latency_ms
2026-06-15T00:00:00+00:00,P-001,EU,stripe,true,200,260
2026-06-15T00:00:00+00:00,P-001,EU,stripe,true,200,191
2026-06-15T00:00:00+00:00,P-001,EU,stripe,true,200,466
2026-06-15T00:00:00+00:00,P-001,EU,stripe,true,200,399
2026-06-15T00:00:00+00:00,P-001,EU,stripe,true,200,336
2026-06-15T00:00:00+00:00,P-001,EU,stripe,true,200,167
2026-06-15T00:00:00+00:00,P-001,EU,stripe,true,200,378
2026-06-15T00:00:00+00:00,P-001,EU,stripe,true,200,407
2026-06-15T00:00:00+00:00,P-001,EU,braintree,true,200,479
2026-06-15T00:00:00+00:00,P-001,EU,braintree,true,200,232
2026-06-15T00:00:00+00:00,P-001,EU,braintree,true,200,262
2026-06-15T00:00:00+00:00,P-001,EU,braintree,true,200,123
2026-06-15T00:00:00+00:00,P-002,APAC,stripe,true,200,294
2026-06-15T00:00:00+00:00,P-002,APAC,stripe,true,200,230
2026-06-15T00:00:00+00:00,P-002,APAC,stripe,false,insufficient_funds,1109
2026-06-15T00:00:00+00:00,P-002,APAC,stripe,true,200,169
2026-06-15T00:00:00+00:00,P-002,APAC,braintree,true,200,429
2026-06-15T00:00:00+00:00,P-002,APAC,braintree,true,200,142
2026-06-15T00:00:00+00:00,P-002,APAC,braintree,true,200,394
2026-06-15T00:00:00+00:00,P-002,APAC,braintree,true,200,313
2026-06-15T00:00:00+00:00,P-002,APAC,braintree,true,200,270
2026-06-15T00:00:00+00:00,P-003,LATAM,stripe,true,200,305
2026-06-15T00:00:00+00:00,P-003,LATAM,stripe,true,200,480
2026-06-15T00:00:00+00:00,P-003,LATAM,stripe,true,200,458
2026-06-15T00:00:00+00:00,P-003,LATAM,stripe,true,200,268
2026-06-15T00:00:00+00:00,P-003,LATAM,stripe,false,card_declined,1106
2026-06-15T00:00:00+00:00,P-003,LATAM,stripe,true,200,352
2026-06-15T00:00:00+00:00,P-003,LATAM,stripe,true,200,306
2026-06-15T00:00:00+00:00,P-003,LATAM,stripe,true,200,301
2026-06-15T00:00:00+00:00,P-003,LATAM,braintree,true,200,479
2026-06-15T00:00:00+00:00,P-003,LATAM,braintree,false,avs_mismatch,1046
2026-06-15T00:00:00+00:00,P-003,LATAM,braintree,true,200,207
2026-06-15T00:00:00+00:00,P-003,LATAM,braintree,true,200,245
2026-06-15T01:00:00+00:00,P-001,EU,stripe,true,200,258
2026-06-15T01:00:00+00:00,P-001,EU,stripe,false,3ds_failed,2309
2026-06-15T01:00:00+00:00,P-001,EU,stripe,true,200,470
2026-06-15T01:00:00+00:00,P-001,EU,stripe,true,200,148
2026-06-15T01:00:00+00:00,P-001,EU,braintree,true,200,281
2026-06-15T01:00:00+00:00,P-001,EU,braintree,true,200,153
2026-06-15T01:00:00+00:00,P-001,EU,braintree,true,200,410
2026-06-15T01:00:00+00:00,P-001,EU,braintree,true,200,281
2026-06-15T01:00:00+00:00,P-002,APAC,stripe,true,200,322
2026-06-15T01:00:00+00:00,P-002,APAC,stripe,true,200,449
2026-06-15T01:00:00+00:00,P-002,APAC,stripe,true,200,255
2026-06-15T01:00:00+00:00,P-002,APAC,stripe,true,200,407
2026-06-15T01:00:00+00:00,P-002,APAC,braintree,true,200,419
2026-06-15T01:00:00+00:00,P-002,APAC,braintree,true,200,418
2026-06-15T01:00:00+00:00,P-002,APAC,braintree,true,200,232
2026-06-15T01:00:00+00:00,P-002,APAC,braintree,false,processor_timeout,1943
2026-06-15T01:00:00+00:00,P-002,APAC,braintree,true,200,144
2026-06-15T01:00:00+00:00,P-002,APAC,braintree,true,200,198
2026-06-15T01:00:00+00:00,P-002,APAC,braintree,true,200,468
2026-06-15T01:00:00+00:00,P-003,LATAM,stripe,true,200,317
2026-06-15T01:00:00+00:00,P-003,LATAM,stripe,true,200,359
2026-06-15T01:00:00+00:00,P-003,LATAM,stripe,true,200,403
2026-06-15T01:00:00+00:00,P-003,LATAM,stripe,true,200,125
2026-06-15T01:00:00+00:00,P-003,LATAM,stripe,true,200,178
2026-06-15T01:00:00+00:00,P-003,LATAM,stripe,true,200,394
